name,segment
Cliente Piloto 1 S/A,Varejo
Cliente Piloto 2 S/A,Industria
Cliente Piloto 3 S/A,Industria
Cliente Piloto 4 S/A,Distribuicao
Cliente Piloto 5 S/A,Varejo
Cliente Piloto 6 S/A,Industria
Cliente Piloto 7 S/A,Distribuicao
Cliente Piloto 8 S/A,Varejo
Cliente Piloto 9 S/A,Distribuicao
Cliente Piloto 10 S/A,Comercio Atacadista
Cliente Piloto 11 S/A,Industria
Cliente Piloto 12 S/A,Comercio Atacadista
Cliente Piloto 13 S/A,Varejo
Cliente Piloto 14 S/A,Comercio Atacadista
Cliente Piloto 15 S/A,Comercio Atacadista
Cliente Piloto 16 S/A,Varejo
Cliente Piloto 17 S/A,Distribuicao
Cliente Piloto 18 S/A,Comercio Atacadista
Cliente Piloto 19 S/A,Distribuicao
Cliente Piloto 20 S/A,Comercio Atacadista
Cliente Piloto 21 S/A,Distribuicao
Cliente Piloto 22 S/A,Varejo
Cliente Piloto 23 S/A,Comercio Atacadista
Cliente Piloto 24 S/A,Varejo
Cliente Piloto 25 S/A,Comercio Atacadista
Cliente Piloto 26 S/A,Varejo
Cliente Piloto 27 S/A,Varejo
Cliente Piloto 28 S/A,Comercio Atacadista
Cliente Piloto 29 S/A,Comercio Atacadista
Cliente Piloto 30 S/A,Comercio Atacadista
Cliente Piloto 31 S/A,Industria
Cliente Piloto 32 S/A,Distribuicao
Cliente Piloto 33 S/A,Industria
Cliente Piloto 34 S/A,Industria
Cliente Piloto 35 S/A,Varejo
Cliente Piloto 36 S/A,Comercio Atacadista
Cliente Piloto 37 S/A,Distribuicao
Cliente Piloto 38 S/A,Varejo
Cliente Piloto 39 S/A,Industria
Cliente Piloto 40 S/A,Comercio Atacadista
Cliente Piloto 41 S/A,Varejo
Cliente Piloto 42 S/A,Comercio Atacadista
Cliente Piloto 43 S/A,Varejo
Cliente Piloto 44 S/A,Comercio Atacadista
Cliente Piloto 45 S/A,Industria
Cliente Piloto 46 S/A,Distribuicao
Cliente Piloto 47 S/A,Industria
Cliente Piloto 48 S/A,Distribuicao
Cliente Piloto 49 S/A,Comercio Atacadista
Cliente Piloto 50 S/A,Varejo
Cliente Piloto 51 S/A,Industria
Cliente Piloto 52 S/A,Distribuicao
Cliente Piloto 53 S/A,Industria
Cliente Piloto 54 S/A,Distribuicao
Cliente Piloto 55 S/A,Industria
Cliente Piloto 56 S/A,Distribuicao
Cliente Piloto 57 S/A,Distribuicao
Cliente Piloto 58 S/A,Comercio Atacadista
Cliente Piloto 59 S/A,Distribuicao
Cliente Piloto 60 S/A,Comercio Atacadista
Cliente Piloto 61 S/A,Distribuicao
Cliente Piloto 62 S/A,Varejo
Cliente Piloto 63 S/A,Varejo
Cliente Piloto 64 S/A,Varejo
Cliente Piloto 65 S/A,Distribuicao
Cliente Piloto 66 S/A,Comercio Atacadista
Cliente Piloto 67 S/A,Comercio Atacadista
Cliente Piloto 68 S/A,Distribuicao
Cliente Piloto 69 S/A,Varejo
Cliente Piloto 70 S/A,Varejo
Cliente Piloto 71 S/A,Comercio Atacadista
Cliente Piloto 72 S/A,Varejo
Cliente Piloto 73 S/A,Industria
Cliente Piloto 74 S/A,Comercio Atacadista
Cliente Piloto 75 S/A,Varejo
Cliente Piloto 76 S/A,Comercio Atacadista
Cliente Piloto 77 S/A,Industria
Cliente Piloto 78 S/A,Comercio Atacadista
Cliente Piloto 79 S/A,Comercio Atacadista
Cliente Piloto 80 S/A,Comercio Atacadista
Cliente Piloto 81 S/A,Comercio Atacadista
Cliente Piloto 82 S/A,Industria
Cliente Piloto 83 S/A,Distribuicao
Cliente Piloto 84 S/A,Comercio Atacadista
Cliente Piloto 85 S/A,Comercio Atacadista
Cliente Piloto 86 S/A,Varejo
Cliente Piloto 87 S/A,Comercio Atacadista
Cliente Piloto 88 S/A,Varejo
Cliente Piloto 89 S/A,Distribuicao
Cliente Piloto 90 S/A,Industria
Cliente Piloto 91 S/A,Industria
Cliente Piloto 92 S/A,Distribuicao
Cliente Piloto 93 S/A,Industria
Cliente Piloto 94 S/A,Distribuicao
Cliente Piloto 95 S/A,Distribuicao
Cliente Piloto 96 S/A,Distribuicao
Cliente Piloto 97 S/A,Industria
Cliente Piloto 98 S/A,Varejo
Cliente Piloto 99 S/A,Distribuicao
Cliente Piloto 100 S/A,Comercio Atacadista
Cliente Piloto 101 S/A,Industria
Cliente Piloto 102 S/A,Distribuicao
Cliente Piloto 103 S/A,Distribuicao
Cliente Piloto 104 S/A,Comercio Atacadista
Cliente Piloto 105 S/A,Varejo
Cliente Piloto 106 S/A,Varejo
Cliente Piloto 107 S/A,Varejo
Cliente Piloto 108 S/A,Distribuicao
Cliente Piloto 109 S/A,Distribuicao
Cliente Piloto 110 S/A,Distribuicao
Cliente Piloto 111 S/A,Industria
Cliente Piloto 112 S/A,Comercio Atacadista
Cliente Piloto 113 S/A,Distribuicao
Cliente Piloto 114 S/A,Comercio Atacadista
Cliente Piloto 115 S/A,Comercio Atacadista
Cliente Piloto 116 S/A,Varejo
Cliente Piloto 117 S/A,Industria
Cliente Piloto 118 S/A,Distribuicao
Cliente Piloto 119 S/A,Varejo
Cliente Piloto 120 S/A,Varejo
Cliente Piloto 121 S/A,Distribuicao
Cliente Piloto 122 S/A,Comercio Atacadista
Cliente Piloto 123 S/A,Varejo
Cliente Piloto 124 S/A,Comercio Atacadista
Cliente Piloto 125 S/A,Industria
Cliente Piloto 126 S/A,Comercio Atacadista
Cliente Piloto 127 S/A,Industria
Cliente Piloto 128 S/A,Comercio Atacadista
Cliente Piloto 129 S/A,Varejo
Cliente Piloto 130 S/A,Varejo
Cliente Piloto 131 S/A,Industria
Cliente Piloto 132 S/A,Distribuicao
Cliente Piloto 133 S/A,Industria
Cliente Piloto 134 S/A,Industria
Cliente Piloto 135 S/A,Comercio Atacadista
Cliente Piloto 136 S/A,Comercio Atacadista
Cliente Piloto 137 S/A,Industria
Cliente Piloto 138 S/A,Varejo
Cliente Piloto 139 S/A,Comercio Atacadista
Cliente Piloto 140 S/A,Distribuicao
Cliente Piloto 141 S/A,Comercio Atacadista
Cliente Piloto 142 S/A,Comercio Atacadista
Cliente Piloto 143 S/A,Distribuicao
Cliente Piloto 144 S/A,Industria
Cliente Piloto 145 S/A,Distribuicao
Cliente Piloto 146 S/A,Industria
Cliente Piloto 147 S/A,Industria
Cliente Piloto 148 S/A,Industria
Cliente Piloto 149 S/A,Distribuicao
Cliente Piloto 150 S/A,Industria
Cliente Piloto 151 S/A,Varejo
Cliente Piloto 152 S/A,Distribuicao
Cliente Piloto 153 S/A,Varejo
Cliente Piloto 154 S/A,Industria
Cliente Piloto 155 S/A,Comercio Atacadista
Cliente Piloto 156 S/A,Industria
Cliente Piloto 157 S/A,Varejo
Cliente Piloto 158 S/A,Varejo
Cliente Piloto 159 S/A,Distribuicao
Cliente Piloto 160 S/A,Comercio Atacadista
Cliente Piloto 161 S/A,Distribuicao
Cliente Piloto 162 S/A,Varejo
Cliente Piloto 163 S/A,Industria
Cliente Piloto 164 S/A,Comercio Atacadista
Cliente Piloto 165 S/A,Industria
Cliente Piloto 166 S/A,Industria
Cliente Piloto 167 S/A,Comercio Atacadista
Cliente Piloto 168 S/A,Distribuicao
Cliente Piloto 169 S/A,Industria
Cliente Piloto 170 S/A,Varejo
Cliente Piloto 171 S/A,Industria
Cliente Piloto 172 S/A,Comercio Atacadista
Cliente Piloto 173 S/A,Comercio Atacadista
Cliente Piloto 174 S/A,Comercio Atacadista
Cliente Piloto 175 S/A,Distribuicao
Cliente Piloto 176 S/A,Industria
Cliente Piloto 177 S/A,Distribuicao
Cliente Piloto 178 S/A,Distribuicao
Cliente Piloto 179 S/A,Comercio Atacadista
Cliente Piloto 180 S/A,Comercio Atacadista
Cliente Piloto 181 S/A,Distribuicao
Cliente Piloto 182 S/A,Industria
Cliente Piloto 183 S/A,Varejo
Cliente Piloto 184 S/A,Distribuicao
Cliente Piloto 185 S/A,Industria
Cliente Piloto 186 S/A,Comercio Atacadista
Cliente Piloto 187 S/A,Comercio Atacadista
Cliente Piloto 188 S/A,Industria
Cliente Piloto 189 S/A,Varejo
Cliente Piloto 190 S/A,Comercio Atacadista
Cliente Piloto 191 S/A,Comercio Atacadista
Cliente Piloto 192 S/A,Comercio Atacadista
Cliente Piloto 193 S/A,Industria
Cliente Piloto 194 S/A,Distribuicao
Cliente Piloto 195 S/A,Comercio Atacadista
Cliente Piloto 196 S/A,Distribuicao
Cliente Piloto 197 S/A,Varejo
Cliente Piloto 198 S/A,Comercio Atacadista
Cliente Piloto 199 S/A,Comercio Atacadista
Cliente Piloto 200 S/A,Varejo
Cliente Piloto 201 S/A,Comercio Atacadista
Cliente Piloto 202 S/A,Distribuicao
Cliente Piloto 203 S/A,Industria
Cliente Piloto 204 S/A,Distribuicao
Cliente Piloto 205 S/A,Industria
Cliente Piloto 206 S/A,Industria
Cliente Piloto 207 S/A,Distribuicao
Cliente Piloto 208 S/A,Distribuicao
Cliente Piloto 209 S/A,Distribuicao
Cliente Piloto 210 S/A,Distribuicao
Cliente Piloto 211 S/A,Varejo
Cliente Piloto 212 S/A,Comercio Atacadista
Cliente Piloto 213 S/A,Industria
Cliente Piloto 214 S/A,Distribuicao
Cliente Piloto 215 S/A,Distribuicao
Cliente Piloto 216 S/A,Distribuicao
Cliente Piloto 217 S/A,Varejo
Cliente Piloto 218 S/A,Distribuicao
Cliente Piloto 219 S/A,Distribuicao
Cliente Piloto 220 S/A,Distribuicao
Cliente Piloto 221 S/A,Comercio Atacadista
Cliente Piloto 222 S/A,Varejo
Cliente Piloto 223 S/A,Distribuicao
Cliente Piloto 224 S/A,Industria
Cliente Piloto 225 S/A,Industria
Cliente Piloto 226 S/A,Industria
Cliente Piloto 227 S/A,Varejo
Cliente Piloto 228 S/A,Varejo
Cliente Piloto 229 S/A,Industria
Cliente Piloto 230 S/A,Distribuicao
Cliente Piloto 231 S/A,Varejo
Cliente Piloto 232 S/A,Industria
Cliente Piloto 233 S/A,Industria
Cliente Piloto 234 S/A,Distribuicao
Cliente Piloto 235 S/A,Comercio Atacadista
Cliente Piloto 236 S/A,Varejo
Cliente Piloto 237 S/A,Distribuicao
Cliente Piloto 238 S/A,Industria
Cliente Piloto 239 S/A,Industria
Cliente Piloto 240 S/A,Distribuicao
Cliente Piloto 241 S/A,Varejo
Cliente Piloto 242 S/A,Comercio Atacadista
Cliente Piloto 243 S/A,Comercio Atacadista
Cliente Piloto 244 S/A,Industria
Cliente Piloto 245 S/A,Varejo
Cliente Piloto 246 S/A,Comercio Atacadista
Cliente Piloto 247 S/A,Varejo
Cliente Piloto 248 S/A,Varejo
Cliente Piloto 249 S/A,Industria
Cliente Piloto 250 S/A,Comercio Atacadista
