name,category,standard_cost,sale_price
Item SKU Industrial 1,Embalagens,43.74,67.62
Item SKU Industrial 2,Plásticos,138.95,289.53
Item SKU Industrial 3,Químicos,7.35,13.53
Item SKU Industrial 4,Metalmecânica,153.95,262.68
Item SKU Industrial 5,Metalmecânica,31.57,59.66
Item SKU Industrial 6,Eletrônicos,18.61,28.86
Item SKU Industrial 7,Eletrônicos,112.32,188.97
Item SKU Industrial 8,Químicos,92.27,158.71
Item SKU Industrial 9,Metalmecânica,195.4,324.91
Item SKU Industrial 10,Químicos,134.02,209.24
Item SKU Industrial 11,Eletrônicos,160.45,254.05
Item SKU Industrial 12,Eletrônicos,35.51,59.7
Item SKU Industrial 13,Metalmecânica,23.57,39.3
Item SKU Industrial 14,Embalagens,104.61,218.31
Item SKU Industrial 15,Plásticos,120.76,256.63
Item SKU Industrial 16,Eletrônicos,399.75,708.55
Item SKU Industrial 17,Eletrônicos,40.74,89.81
Item SKU Industrial 18,Embalagens,43.6,79.79
Item SKU Industrial 19,Embalagens,115.48,234.69
Item SKU Industrial 20,Químicos,37.65,72.51
Item SKU Industrial 21,Químicos,248.43,410.52
Item SKU Industrial 22,Plásticos,193.54,303.23
Item SKU Industrial 23,Plásticos,43.68,94.05
Item SKU Industrial 24,Metalmecânica,121.65,218.47
Item SKU Industrial 25,Químicos,138.26,220.69
Item SKU Industrial 26,Eletrônicos,12.28,26.33
Item SKU Industrial 27,Químicos,220.92,359.27
Item SKU Industrial 28,Eletrônicos,60.27,115.56
Item SKU Industrial 29,Embalagens,140.28,272.7
Item SKU Industrial 30,Químicos,43.8,67.86
Item SKU Industrial 31,Embalagens,170.98,348.82
Item SKU Industrial 32,Plásticos,49.42,83.95
Item SKU Industrial 33,Plásticos,7.14,11.63
Item SKU Industrial 34,Metalmecânica,166.66,363.69
Item SKU Industrial 35,Químicos,14.23,24.36
Item SKU Industrial 36,Embalagens,43.35,67.7
Item SKU Industrial 37,Eletrônicos,218.21,459.55
Item SKU Industrial 38,Plásticos,290.2,461.19
Item SKU Industrial 39,Plásticos,78.4,137.8
Item SKU Industrial 40,Eletrônicos,91.66,159.88
Item SKU Industrial 41,Embalagens,56.83,99.25
Item SKU Industrial 42,Embalagens,31.63,62.05
Item SKU Industrial 43,Químicos,44.45,69.77
Item SKU Industrial 44,Químicos,113.47,177.45
Item SKU Industrial 45,Metalmecânica,126.16,219.38
