customer_name,product_name,revenue,discount,order_date
Cliente Piloto 42 S/A,Item SKU Industrial 34,12001.77,0.0,2024-01-01
Cliente Piloto 141 S/A,Item SKU Industrial 52,973.8,0.0,2024-01-01
Cliente Piloto 113 S/A,Item SKU Industrial 112,679.2,0.0,2024-01-01
Cliente Piloto 105 S/A,Item SKU Industrial 252,2165.73,0.0,2024-01-01
Cliente Piloto 192 S/A,Item SKU Industrial 82,327.88,0.0,2024-01-01
Cliente Piloto 17 S/A,Item SKU Industrial 232,491.26,0.0,2024-01-01
Cliente Piloto 120 S/A,Item SKU Industrial 227,2005.32,0.0,2024-01-01
Cliente Piloto 137 S/A,Item SKU Industrial 233,623.6,0.0,2024-01-01
Cliente Piloto 169 S/A,Item SKU Industrial 221,2339.92,0.0,2024-01-01
Cliente Piloto 129 S/A,Item SKU Industrial 436,5107.04,0.0,2024-01-01
Cliente Piloto 130 S/A,Item SKU Industrial 413,4255.16,0.0,2024-01-01
Cliente Piloto 60 S/A,Item SKU Industrial 422,6202.5,0.0,2024-01-01
Cliente Piloto 48 S/A,Item SKU Industrial 42,1054.85,0.0,2024-01-01
Cliente Piloto 29 S/A,Item SKU Industrial 21,9441.96,0.0,2024-01-01
Cliente Piloto 232 S/A,Item SKU Industrial 416,279.76,0.0,2024-01-02
Cliente Piloto 58 S/A,Item SKU Industrial 428,1388.1,0.0,2024-01-02
Cliente Piloto 159 S/A,Item SKU Industrial 449,3274.46,0.0,2024-01-02
Cliente Piloto 110 S/A,Item SKU Industrial 87,7855.58,0.0,2024-01-02
Cliente Piloto 228 S/A,Item SKU Industrial 101,24112.64,0.0,2024-01-02
Cliente Piloto 139 S/A,Item SKU Industrial 8,7618.08,0.0,2024-01-02
Cliente Piloto 180 S/A,Item SKU Industrial 333,7252.28,0.0,2024-01-02
Cliente Piloto 143 S/A,Item SKU Industrial 200,5226.99,0.0,2024-01-02
Cliente Piloto 211 S/A,Item SKU Industrial 87,5181.34,0.0,2024-01-02
Cliente Piloto 135 S/A,Item SKU Industrial 43,558.16,0.0,2024-01-02
Cliente Piloto 243 S/A,Item SKU Industrial 385,9724.0,0.0,2024-01-02
Cliente Piloto 28 S/A,Item SKU Industrial 109,3953.75,0.0,2024-01-02
Cliente Piloto 51 S/A,Item SKU Industrial 435,252.27,0.0,2024-01-02
Cliente Piloto 235 S/A,Item SKU Industrial 408,107.02,0.0,2024-01-02
Cliente Piloto 186 S/A,Item SKU Industrial 483,1587.3,0.0,2024-01-02
Cliente Piloto 5 S/A,Item SKU Industrial 152,271.14,0.0,2024-01-02
Cliente Piloto 5 S/A,Item SKU Industrial 17,4400.69,0.0,2024-01-02
Cliente Piloto 94 S/A,Item SKU Industrial 133,9696.6,0.0,2024-01-02
Cliente Piloto 246 S/A,Item SKU Industrial 148,2142.24,0.0,2024-01-02
Cliente Piloto 96 S/A,Item SKU Industrial 277,1757.56,0.0,2024-01-02
Cliente Piloto 17 S/A,Item SKU Industrial 266,599.84,0.0,2024-01-03
Cliente Piloto 168 S/A,Item SKU Industrial 149,14057.61,0.0,2024-01-03
Cliente Piloto 146 S/A,Item SKU Industrial 164,2096.22,0.0,2024-01-03
Cliente Piloto 183 S/A,Item SKU Industrial 140,592.9,0.0,2024-01-03
Cliente Piloto 201 S/A,Item SKU Industrial 347,1279.68,0.0,2024-01-03
Cliente Piloto 153 S/A,Item SKU Industrial 488,3644.1,0.0,2024-01-03
Cliente Piloto 232 S/A,Item SKU Industrial 258,4583.28,0.0,2024-01-03
Cliente Piloto 59 S/A,Item SKU Industrial 374,17905.58,0.0,2024-01-03
Cliente Piloto 78 S/A,Item SKU Industrial 269,834.12,0.0,2024-01-03
Cliente Piloto 124 S/A,Item SKU Industrial 181,3587.5,0.0,2024-01-03
Cliente Piloto 250 S/A,Item SKU Industrial 160,10800.13,0.0,2024-01-03
Cliente Piloto 217 S/A,Item SKU Industrial 351,5158.98,0.0,2024-01-03
Cliente Piloto 114 S/A,Item SKU Industrial 400,5237.4,0.0,2024-01-03
Cliente Piloto 22 S/A,Item SKU Industrial 288,1945.06,0.0,2024-01-03
Cliente Piloto 244 S/A,Item SKU Industrial 288,3142.02,0.0,2024-01-03
Cliente Piloto 158 S/A,Item SKU Industrial 380,260.0,0.0,2024-01-03
Cliente Piloto 212 S/A,Item SKU Industrial 226,1736.96,0.0,2024-01-03
Cliente Piloto 213 S/A,Item SKU Industrial 11,10162.0,0.0,2024-01-03
Cliente Piloto 172 S/A,Item SKU Industrial 10,9625.04,0.0,2024-01-03
Cliente Piloto 32 S/A,Item SKU Industrial 271,2392.67,0.0,2024-01-03
Cliente Piloto 27 S/A,Item SKU Industrial 256,592.26,0.0,2024-01-04
Cliente Piloto 50 S/A,Item SKU Industrial 86,546.25,0.0,2024-01-04
Cliente Piloto 95 S/A,Item SKU Industrial 150,6516.59,0.0,2024-01-04
Cliente Piloto 207 S/A,Item SKU Industrial 235,5390.23,0.0,2024-01-04
Cliente Piloto 243 S/A,Item SKU Industrial 345,6206.4,0.0,2024-01-04
Cliente Piloto 151 S/A,Item SKU Industrial 22,11825.97,0.0,2024-01-04
Cliente Piloto 88 S/A,Item SKU Industrial 348,894.08,0.0,2024-01-04
Cliente Piloto 44 S/A,Item SKU Industrial 285,6432.89,0.0,2024-01-04
Cliente Piloto 205 S/A,Item SKU Industrial 269,1737.75,0.0,2024-01-04
Cliente Piloto 22 S/A,Item SKU Industrial 466,443.26,0.0,2024-01-04
Cliente Piloto 171 S/A,Item SKU Industrial 258,5523.44,0.0,2024-01-04
Cliente Piloto 165 S/A,Item SKU Industrial 29,2181.6,0.0,2024-01-04
Cliente Piloto 189 S/A,Item SKU Industrial 213,1289.4,0.0,2024-01-04
Cliente Piloto 97 S/A,Item SKU Industrial 463,1240.16,0.0,2024-01-04
Cliente Piloto 184 S/A,Item SKU Industrial 436,5107.04,0.0,2024-01-04
Cliente Piloto 155 S/A,Item SKU Industrial 449,1206.38,0.0,2024-01-05
Cliente Piloto 66 S/A,Item SKU Industrial 388,1796.9,0.0,2024-01-05
Cliente Piloto 169 S/A,Item SKU Industrial 104,10650.8,0.0,2024-01-05
