product_name,planned_qty,actual_qty,planned_cost,actual_cost,planned_date,actual_date,status
Item SKU Industrial 343,11,11,3038.53,3038.53,2025-01-28,2025-01-28,completed
Item SKU Industrial 216,26,26,527.28,527.28,2025-04-26,2025-04-26,completed
Item SKU Industrial 29,3,3,420.84,420.84,2025-03-14,2025-03-14,completed
Item SKU Industrial 368,23,23,3059.46,3059.46,2025-05-08,2025-05-08,completed
Item SKU Industrial 60,8,8,101.2,101.2,2024-08-24,2024-08-24,completed
Item SKU Industrial 398,25,25,486.25,486.25,2026-01-08,2026-01-08,completed
Item SKU Industrial 407,35,35,2487.45,2487.45,2024-12-05,2024-12-07,completed_late
Item SKU Industrial 446,49,49,5635.0,5635.0,2026-01-14,2026-01-14,completed
Item SKU Industrial 90,7,7,1991.43,1991.43,2024-05-16,2024-05-16,completed
Item SKU Industrial 214,25,25,410.5,410.5,2026-05-10,2026-05-10,completed
Item SKU Industrial 160,13,13,1693.64,1947.69,2025-05-22,2025-05-22,completed
Item SKU Industrial 330,45,45,462.15,462.15,2025-06-21,2025-06-21,completed
Item SKU Industrial 364,19,19,1104.66,1104.66,2025-05-18,2025-05-18,completed
Item SKU Industrial 339,52,52,2470.52,2470.52,2024-09-12,2024-09-14,completed_late
Item SKU Industrial 470,49,49,972.16,972.16,2025-06-07,2025-06-07,completed
Item SKU Industrial 242,16,16,146.88,146.88,2024-06-03,2024-06-03,completed
Item SKU Industrial 279,49,49,5368.44,5368.44,2025-05-30,2025-05-30,completed
Item SKU Industrial 420,16,16,115.04,115.04,2026-05-25,2026-05-25,completed
Item SKU Industrial 354,36,36,725.76,725.76,2025-02-15,2025-02-15,completed
Item SKU Industrial 206,51,51,3380.79,3380.79,2024-11-16,2024-11-16,completed
Item SKU Industrial 352,35,35,617.4,617.4,2024-11-11,2024-11-13,completed_late
Item SKU Industrial 105,38,38,2443.4,2809.91,2025-01-18,2025-01-18,completed
Item SKU Industrial 356,47,47,906.63,906.63,2024-01-11,2024-01-11,completed
Item SKU Industrial 22,25,25,4838.5,4838.5,2024-02-12,2024-02-12,completed
Item SKU Industrial 329,9,9,129.06,129.06,2025-12-06,2025-12-06,completed
Item SKU Industrial 187,14,14,337.4,337.4,2025-01-27,2025-01-27,completed
Item SKU Industrial 416,47,47,747.3,747.3,2025-11-25,2025-11-25,completed
Item SKU Industrial 92,23,23,735.77,735.77,2025-04-19,2025-04-21,completed_late
Item SKU Industrial 478,31,31,767.87,767.87,2024-07-29,2024-08-06,completed_late
Item SKU Industrial 464,6,6,483.0,483.0,2026-05-08,2026-05-08,completed
Item SKU Industrial 220,44,44,7858.84,7858.84,2024-11-17,2024-11-17,completed
Item SKU Industrial 44,38,38,4311.86,4311.86,2024-07-25,2024-07-25,completed
Item SKU Industrial 191,25,25,2238.0,2573.7,2025-08-30,2025-08-30,completed
Item SKU Industrial 446,46,46,5290.0,5290.0,2024-04-22,2024-04-22,completed
Item SKU Industrial 82,46,46,287.04,287.04,2025-07-14,2025-07-16,completed_late
Item SKU Industrial 370,16,16,405.12,405.12,2025-03-17,2025-03-17,completed
Item SKU Industrial 245,15,15,1624.2,1624.2,2025-12-25,2025-12-25,completed
Item SKU Industrial 197,51,51,7799.43,7799.43,2024-02-29,2024-02-29,completed
Item SKU Industrial 186,14,14,1741.6,1741.6,2025-10-31,2025-10-31,completed
Item SKU Industrial 225,52,52,475.8,475.8,2025-01-30,2025-01-30,completed
Item SKU Industrial 36,2,2,86.7,86.7,2025-01-11,2025-01-11,completed
Item SKU Industrial 234,34,34,2262.02,2262.02,2025-03-13,2025-03-15,completed_late
Item SKU Industrial 6,20,20,372.2,372.2,2024-07-17,2024-07-17,completed
Item SKU Industrial 498,31,31,2961.12,3405.29,2025-06-19,2025-06-19,completed
Item SKU Industrial 476,12,12,127.56,127.56,2026-03-09,2026-03-09,completed
Item SKU Industrial 223,49,49,1082.9,1082.9,2024-07-01,2024-07-01,completed
Item SKU Industrial 151,40,40,2715.2,2715.2,2024-12-23,2024-12-23,completed
Item SKU Industrial 102,51,51,676.77,676.77,2025-07-10,2025-07-10,completed
Item SKU Industrial 13,38,38,895.66,895.66,2024-10-17,2024-10-19,completed_late
Item SKU Industrial 490,24,24,1072.32,1072.32,2025-01-23,2025-01-23,completed
Item SKU Industrial 150,35,35,4530.4,4530.4,2025-11-26,2025-11-26,completed
Item SKU Industrial 130,26,26,2563.86,2563.86,2026-04-11,2026-04-11,completed
Item SKU Industrial 434,41,41,2234.91,2234.91,2025-02-15,2025-02-15,completed
Item SKU Industrial 146,44,44,3446.52,3446.52,2024-04-02,2024-04-02,completed
Item SKU Industrial 342,18,18,2852.28,3280.12,2025-03-16,2025-03-16,completed
Item SKU Industrial 167,52,52,5020.6,5020.6,2025-01-28,2025-01-30,completed_late
Item SKU Industrial 363,50,50,7628.0,7628.0,2025-11-15,2025-11-15,completed
Item SKU Industrial 183,45,45,415.8,415.8,2025-03-24,2025-04-01,completed_late
Item SKU Industrial 106,18,18,1631.34,1631.34,2026-05-15,2026-05-15,completed
Item SKU Industrial 182,40,40,627.6,627.6,2024-06-08,2024-06-08,completed
Item SKU Industrial 158,14,14,5658.94,5658.94,2025-02-14,2025-02-14,completed
Item SKU Industrial 288,23,23,1625.87,1625.87,2024-01-06,2024-01-06,completed
Item SKU Industrial 350,1,1,80.97,80.97,2025-05-23,2025-05-25,completed_late
Item SKU Industrial 416,8,8,127.2,127.2,2024-01-05,2024-01-05,completed
Item SKU Industrial 459,30,30,545.4,545.4,2026-04-11,2026-04-11,completed
Item SKU Industrial 263,1,1,29.62,34.06,2025-05-12,2025-05-12,completed
Item SKU Industrial 491,17,17,1394.85,1394.85,2026-04-16,2026-04-16,completed
Item SKU Industrial 90,26,26,7396.74,7396.74,2024-11-23,2024-11-23,completed
Item SKU Industrial 191,36,36,3222.72,3222.72,2026-03-01,2026-03-01,completed
Item SKU Industrial 458,35,35,555.45,555.45,2025-10-06,2025-10-08,completed_late
Item SKU Industrial 214,12,12,197.04,197.04,2025-12-20,2025-12-20,completed
Item SKU Industrial 122,14,14,1230.88,1230.88,2024-07-14,2024-07-14,completed
Item SKU Industrial 136,27,27,2337.93,2337.93,2025-11-16,2025-11-16,completed
Item SKU Industrial 104,2,2,644.58,644.58,2025-01-19,2025-01-19,completed
Item SKU Industrial 53,25,25,4615.0,4615.0,2025-12-17,2025-12-17,completed
Item SKU Industrial 56,47,47,838.01,838.01,2024-09-14,2024-09-14,completed
Item SKU Industrial 69,49,49,1768.41,2033.67,2026-04-19,2026-04-21,completed_late
Item SKU Industrial 339,51,51,2423.01,2423.01,2025-07-03,2025-07-03,completed
Item SKU Industrial 232,8,8,202.72,202.72,2025-01-09,2025-01-09,completed
Item SKU Industrial 105,45,45,2893.5,2893.5,2026-02-01,2026-02-01,completed
Item SKU Industrial 279,11,11,1205.16,1205.16,2024-05-26,2024-05-26,completed
Item SKU Industrial 143,45,45,6502.05,6502.05,2025-01-20,2025-01-20,completed
Item SKU Industrial 227,11,11,363.11,363.11,2025-02-24,2025-02-24,completed
Item SKU Industrial 446,37,37,4255.0,4255.0,2025-02-23,2025-02-25,completed_late
Item SKU Industrial 315,6,6,126.24,126.24,2024-03-16,2024-03-16,completed
Item SKU Industrial 282,50,50,1902.5,1902.5,2024-03-09,2024-03-09,completed
Item SKU Industrial 118,25,25,688.75,688.75,2026-04-13,2026-04-21,completed_late
Item SKU Industrial 281,34,34,504.56,580.24,2024-10-16,2024-10-16,completed
Item SKU Industrial 337,13,13,1097.72,1097.72,2026-03-21,2026-03-21,completed
Item SKU Industrial 280,42,42,2422.56,2422.56,2025-04-17,2025-04-17,completed
Item SKU Industrial 254,45,45,441.9,441.9,2025-12-08,2025-12-10,completed_late
Item SKU Industrial 426,41,41,3806.03,3806.03,2025-10-13,2025-10-13,completed
Item SKU Industrial 287,27,27,9834.48,9834.48,2025-01-16,2025-01-16,completed
Item SKU Industrial 327,51,51,494.19,494.19,2026-03-01,2026-03-01,completed
Item SKU Industrial 134,15,15,3297.3,3297.3,2026-01-27,2026-01-27,completed
Item SKU Industrial 100,37,37,2387.98,2387.98,2026-05-01,2026-05-01,completed
Item SKU Industrial 108,38,38,2011.72,2011.72,2025-04-11,2025-04-11,completed
Item SKU Industrial 221,40,40,2466.8,2466.8,2025-06-10,2025-06-12,completed_late
Item SKU Industrial 482,49,49,381.71,438.97,2024-08-12,2024-08-12,completed
Item SKU Industrial 271,25,25,4528.75,4528.75,2026-01-31,2026-01-31,completed
Item SKU Industrial 181,7,7,294.77,294.77,2024-03-03,2024-03-03,completed
Item SKU Industrial 383,12,12,906.72,906.72,2025-08-17,2025-08-17,completed
Item SKU Industrial 495,2,2,410.96,410.96,2025-08-29,2025-08-29,completed
Item SKU Industrial 451,6,6,1138.62,1138.62,2025-08-22,2025-08-22,completed
Item SKU Industrial 90,24,24,6827.76,6827.76,2024-05-12,2024-05-14,completed_late
Item SKU Industrial 171,27,27,1071.09,1071.09,2026-04-18,2026-04-18,completed
Item SKU Industrial 134,7,7,1538.74,1538.74,2025-11-30,2025-11-30,completed
Item SKU Industrial 79,1,1,225.75,225.75,2024-10-14,2024-10-14,completed
Item SKU Industrial 70,24,24,3642.0,3642.0,2025-09-28,2025-09-28,completed
Item SKU Industrial 4,6,6,923.7,1062.25,2025-12-01,2025-12-01,completed
Item SKU Industrial 43,52,52,2311.4,2311.4,2026-05-22,2026-05-22,completed
Item SKU Industrial 372,41,41,1846.64,1846.64,2024-06-15,2024-06-17,completed_late
Item SKU Industrial 451,17,17,3226.09,3226.09,2024-04-19,2024-04-19,completed
Item SKU Industrial 34,4,4,666.64,666.64,2026-03-13,2026-03-13,completed
Item SKU Industrial 286,6,6,239.34,239.34,2025-08-04,2025-08-04,completed
Item SKU Industrial 290,15,15,226.2,226.2,2025-03-12,2025-03-20,completed_late
Item SKU Industrial 489,39,39,2174.64,2174.64,2026-05-20,2026-05-20,completed
Item SKU Industrial 90,23,23,6543.27,6543.27,2026-02-05,2026-02-05,completed
Item SKU Industrial 268,26,26,671.84,671.84,2025-01-31,2025-02-02,completed_late
Item SKU Industrial 92,51,51,1631.49,1631.49,2026-05-16,2026-05-16,completed
Item SKU Industrial 138,4,4,830.52,955.1,2026-04-17,2026-04-17,completed
Item SKU Industrial 2,22,22,3056.9,3056.9,2026-03-14,2026-03-14,completed
Item SKU Industrial 304,51,51,15893.13,15893.13,2025-03-06,2025-03-06,completed
Item SKU Industrial 433,19,19,3602.21,3602.21,2025-06-12,2025-06-12,completed
Item SKU Industrial 108,11,11,582.34,582.34,2024-01-25,2024-01-25,completed
Item SKU Industrial 436,36,36,11410.56,11410.56,2024-12-23,2024-12-25,completed_late
Item SKU Industrial 77,1,1,70.77,70.77,2024-10-18,2024-10-18,completed
Item SKU Industrial 106,19,19,1721.97,1721.97,2026-04-30,2026-04-30,completed
Item SKU Industrial 484,8,8,575.6,575.6,2025-02-06,2025-02-06,completed
Item SKU Industrial 330,12,12,123.24,123.24,2025-11-09,2025-11-09,completed
Item SKU Industrial 425,6,6,1349.16,1349.16,2024-02-16,2024-02-16,completed
Item SKU Industrial 44,27,27,3063.69,3523.24,2025-10-23,2025-10-23,completed
Item SKU Industrial 36,17,17,736.95,736.95,2024-11-21,2024-11-23,completed_late
Item SKU Industrial 200,45,45,7823.25,7823.25,2024-07-02,2024-07-02,completed
Item SKU Industrial 81,22,22,1579.16,1579.16,2024-08-08,2024-08-08,completed
Item SKU Industrial 160,15,15,1954.2,1954.2,2025-10-11,2025-10-11,completed
Item SKU Industrial 211,36,36,1069.2,1069.2,2025-05-26,2025-05-26,completed
Item SKU Industrial 385,23,23,3196.54,3196.54,2025-12-19,2025-12-19,completed
Item SKU Industrial 246,2,2,44.28,44.28,2025-03-15,2025-03-15,completed
Item SKU Industrial 215,49,49,1072.12,1072.12,2025-07-14,2025-07-16,completed_late
Item SKU Industrial 354,48,48,967.68,967.68,2026-05-01,2026-05-01,completed
Item SKU Industrial 141,49,49,392.0,392.0,2026-04-12,2026-04-12,completed
Item SKU Industrial 284,20,20,1549.2,1781.58,2025-01-18,2025-01-18,completed
Item SKU Industrial 253,47,47,5453.88,5453.88,2025-03-21,2025-03-21,completed
Item SKU Industrial 259,44,44,2669.04,2669.04,2024-12-19,2024-12-27,completed_late
Item SKU Industrial 23,34,34,1485.12,1485.12,2025-02-27,2025-02-27,completed
Item SKU Industrial 384,1,1,215.85,215.85,2025-04-20,2025-04-22,completed_late
Item SKU Industrial 216,11,11,223.08,223.08,2025-10-25,2025-10-25,completed
Item SKU Industrial 339,31,31,1472.81,1472.81,2025-11-08,2025-11-08,completed
Item SKU Industrial 459,47,47,854.46,854.46,2024-11-10,2024-11-10,completed
Item SKU Industrial 399,46,46,2469.74,2469.74,2025-10-18,2025-10-18,completed
Item SKU Industrial 70,39,39,5918.25,5918.25,2024-01-12,2024-01-12,completed
Item SKU Industrial 191,46,46,4117.92,4117.92,2025-02-07,2025-02-07,completed
Item SKU Industrial 231,49,49,2278.01,2619.71,2026-05-21,2026-05-23,completed_late
Item SKU Industrial 402,6,6,166.26,166.26,2024-02-14,2024-02-14,completed
Item SKU Industrial 304,31,31,9660.53,9660.53,2025-08-28,2025-08-28,completed
Item SKU Industrial 499,50,50,2442.0,2442.0,2026-01-24,2026-01-24,completed
Item SKU Industrial 226,52,52,1032.72,1032.72,2024-03-03,2024-03-03,completed
Item SKU Industrial 397,51,51,7510.26,7510.26,2026-03-07,2026-03-07,completed
Item SKU Industrial 327,33,33,319.77,319.77,2026-03-04,2026-03-04,completed
Item SKU Industrial 318,44,44,2955.04,2955.04,2025-12-13,2025-12-15,completed_late
Item SKU Industrial 171,34,34,1348.78,1348.78,2025-02-01,2025-02-01,completed
Item SKU Industrial 37,36,36,7855.56,7855.56,2025-11-19,2025-11-19,completed
Item SKU Industrial 432,26,26,6347.12,6347.12,2025-11-14,2025-11-14,completed
Item SKU Industrial 366,40,40,2195.2,2524.48,2025-02-02,2025-02-02,completed
Item SKU Industrial 485,36,36,442.08,442.08,2025-01-30,2025-01-30,completed
Item SKU Industrial 471,4,4,223.88,223.88,2024-07-25,2024-07-25,completed
Item SKU Industrial 486,11,11,1458.6,1458.6,2024-01-11,2024-01-13,completed_late
Item SKU Industrial 460,20,20,1376.6,1376.6,2026-03-22,2026-03-22,completed
Item SKU Industrial 364,14,14,813.96,813.96,2025-05-02,2025-05-02,completed
Item SKU Industrial 245,2,2,216.56,216.56,2024-03-18,2024-03-18,completed
Item SKU Industrial 480,19,19,445.36,445.36,2026-01-12,2026-01-12,completed
Item SKU Industrial 164,6,6,351.66,351.66,2025-09-30,2025-09-30,completed
Item SKU Industrial 362,40,40,2177.6,2177.6,2025-11-17,2025-11-25,completed_late
Item SKU Industrial 184,38,38,4208.88,4208.88,2024-03-03,2024-03-05,completed_late
Item SKU Industrial 23,31,31,1354.08,1557.19,2026-05-10,2026-05-10,completed
Item SKU Industrial 249,31,31,2032.67,2032.67,2025-08-17,2025-08-17,completed
Item SKU Industrial 119,51,51,1221.45,1221.45,2025-04-04,2025-04-04,completed
Item SKU Industrial 250,7,7,641.2,641.2,2025-11-23,2025-11-23,completed
Item SKU Industrial 340,4,4,155.68,155.68,2026-01-13,2026-01-13,completed
Item SKU Industrial 113,15,15,418.8,418.8,2026-04-03,2026-04-03,completed
Item SKU Industrial 141,28,28,224.0,224.0,2024-06-07,2024-06-09,completed_late
Item SKU Industrial 147,13,13,663.26,663.26,2025-06-21,2025-06-21,completed
Item SKU Industrial 284,42,42,3253.32,3253.32,2025-02-24,2025-02-24,completed
