statement_type,periodo,conta,valor
DRE,2024-01,receita_bruta,2035199.43
DRE,2024-01,receita_liquida,2035199.43
DRE,2024-01,cmv,-1110684.69
DRE,2024-01,lucro_bruto,924514.74
DRE,2024-01,despesas_operacionais,-67179.12
DRE,2024-01,ebitda,857335.62
DRE,2024-01,lucro_liquido,857335.62
BALANCO,2024-01,ativo_circulante,1107335.62
BALANCO,2024-01,passivo_circulante,366335.9
BALANCO,2024-01,passivo_nao_circulante,162815.95
BALANCO,2024-01,patrimonio_liquido,578183.77
DFC,2024-01,caixa_operacional,857335.62
DFC,2024-01,caixa_investimento,-50879.99
DFC,2024-01,caixa_financiamento,30527.99
DFC,2024-01,variacao_caixa,836983.63
DFC,2024-01,caixa_final,1107335.62
DRE,2024-02,receita_bruta,2123023.42
DRE,2024-02,receita_liquida,2123023.42
DRE,2024-02,cmv,-1173242.82
DRE,2024-02,lucro_bruto,949780.6
DRE,2024-02,despesas_operacionais,-68727.42
DRE,2024-02,ebitda,881053.18
DRE,2024-02,lucro_liquido,881053.18
BALANCO,2024-02,ativo_circulante,1988388.8
BALANCO,2024-02,passivo_circulante,382144.22
BALANCO,2024-02,passivo_nao_circulante,169841.87
BALANCO,2024-02,patrimonio_liquido,1436402.71
DFC,2024-02,caixa_operacional,881053.18
DFC,2024-02,caixa_investimento,0.0
DFC,2024-02,caixa_financiamento,0.0
DFC,2024-02,variacao_caixa,881053.18
DFC,2024-02,caixa_final,1988388.8
DRE,2024-03,receita_bruta,2037861.93
DRE,2024-03,receita_liquida,2037861.93
DRE,2024-03,cmv,-1112107.14
DRE,2024-03,lucro_bruto,925754.79
DRE,2024-03,despesas_operacionais,-66735.7
DRE,2024-03,ebitda,859019.09
DRE,2024-03,lucro_liquido,859019.09
BALANCO,2024-03,ativo_circulante,2847407.89
BALANCO,2024-03,passivo_circulante,366815.15
BALANCO,2024-03,passivo_nao_circulante,163028.95
BALANCO,2024-03,patrimonio_liquido,2317563.79
DFC,2024-03,caixa_operacional,859019.09
DFC,2024-03,caixa_investimento,0.0
DFC,2024-03,caixa_financiamento,0.0
DFC,2024-03,variacao_caixa,859019.09
DFC,2024-03,caixa_final,2847407.89
DRE,2024-04,receita_bruta,2022122.61
DRE,2024-04,receita_liquida,2022122.61
DRE,2024-04,cmv,-1095877.9
DRE,2024-04,lucro_bruto,926244.71
DRE,2024-04,despesas_operacionais,-67977.48
DRE,2024-04,ebitda,858267.23
DRE,2024-04,lucro_liquido,858267.23
BALANCO,2024-04,ativo_circulante,3705675.12
BALANCO,2024-04,passivo_circulante,363982.07
BALANCO,2024-04,passivo_nao_circulante,161769.81
BALANCO,2024-04,patrimonio_liquido,3179923.24
DFC,2024-04,caixa_operacional,858267.23
DFC,2024-04,caixa_investimento,-50553.07
DFC,2024-04,caixa_financiamento,0.0
DFC,2024-04,variacao_caixa,807714.16
DFC,2024-04,caixa_final,3705675.12
DRE,2024-05,receita_bruta,2158190.92
DRE,2024-05,receita_liquida,2158190.92
DRE,2024-05,cmv,-1181007.08
DRE,2024-05,lucro_bruto,977183.84
DRE,2024-05,despesas_operacionais,-66211.88
DRE,2024-05,ebitda,910971.96
DRE,2024-05,lucro_liquido,910971.96
BALANCO,2024-05,ativo_circulante,4616647.08
BALANCO,2024-05,passivo_circulante,388474.37
BALANCO,2024-05,passivo_nao_circulante,172655.27
BALANCO,2024-05,patrimonio_liquido,4055517.44
DFC,2024-05,caixa_operacional,910971.96
DFC,2024-05,caixa_investimento,0.0
DFC,2024-05,caixa_financiamento,0.0
DFC,2024-05,variacao_caixa,910971.96
DFC,2024-05,caixa_final,4616647.08
DRE,2024-06,receita_bruta,1846527.47
DRE,2024-06,receita_liquida,1846527.47
DRE,2024-06,cmv,-1004865.47
DRE,2024-06,lucro_bruto,841662.0
DRE,2024-06,despesas_operacionais,-67284.16
DRE,2024-06,ebitda,774377.84
DRE,2024-06,lucro_liquido,774377.84
BALANCO,2024-06,ativo_circulante,5391024.92
BALANCO,2024-06,passivo_circulante,332374.94
BALANCO,2024-06,passivo_nao_circulante,147722.2
BALANCO,2024-06,patrimonio_liquido,4910927.78
DFC,2024-06,caixa_operacional,774377.84
DFC,2024-06,caixa_investimento,0.0
DFC,2024-06,caixa_financiamento,0.0
DFC,2024-06,variacao_caixa,774377.84
DFC,2024-06,caixa_final,5391024.92
DRE,2024-07,receita_bruta,2022142.14
DRE,2024-07,receita_liquida,2022142.14
DRE,2024-07,cmv,-1115576.11
DRE,2024-07,lucro_bruto,906566.03
DRE,2024-07,despesas_operacionais,-68316.92
DRE,2024-07,ebitda,838249.11
DRE,2024-07,lucro_liquido,838249.11
BALANCO,2024-07,ativo_circulante,6229274.03
BALANCO,2024-07,passivo_circulante,363985.59
BALANCO,2024-07,passivo_nao_circulante,161771.37
BALANCO,2024-07,patrimonio_liquido,5703517.07
DFC,2024-07,caixa_operacional,838249.11
DFC,2024-07,caixa_investimento,-50553.55
DFC,2024-07,caixa_financiamento,30332.13
DFC,2024-07,variacao_caixa,818027.69
DFC,2024-07,caixa_final,6229274.03
DRE,2024-08,receita_bruta,1873385.24
DRE,2024-08,receita_liquida,1873385.24
DRE,2024-08,cmv,-1029403.7
DRE,2024-08,lucro_bruto,843981.54
DRE,2024-08,despesas_operacionais,-68351.2
DRE,2024-08,ebitda,775630.34
DRE,2024-08,lucro_liquido,775630.34
BALANCO,2024-08,ativo_circulante,7004904.37
BALANCO,2024-08,passivo_circulante,337209.34
BALANCO,2024-08,passivo_nao_circulante,149870.82
BALANCO,2024-08,patrimonio_liquido,6517824.21
DFC,2024-08,caixa_operacional,775630.34
DFC,2024-08,caixa_investimento,0.0
DFC,2024-08,caixa_financiamento,0.0
DFC,2024-08,variacao_caixa,775630.34
DFC,2024-08,caixa_final,7004904.37
DRE,2024-09,receita_bruta,1787725.06
DRE,2024-09,receita_liquida,1787725.06
DRE,2024-09,cmv,-983921.55
DRE,2024-09,lucro_bruto,803803.51
DRE,2024-09,despesas_operacionais,-69874.92
DRE,2024-09,ebitda,733928.59
DRE,2024-09,lucro_liquido,733928.59
BALANCO,2024-09,ativo_circulante,7738832.96
BALANCO,2024-09,passivo_circulante,321790.51
BALANCO,2024-09,passivo_nao_circulante,143018.0
BALANCO,2024-09,patrimonio_liquido,7274024.44
DFC,2024-09,caixa_operacional,733928.59
DFC,2024-09,caixa_investimento,0.0
DFC,2024-09,caixa_financiamento,0.0
DFC,2024-09,variacao_caixa,733928.59
DFC,2024-09,caixa_final,7738832.96
DRE,2024-10,receita_bruta,2094935.46
