statement_type,periodo,codigo_conta,conta,grupo_dre,valor
DRE,2024-01,3.01.001,Receita de Vendas - Metalmecânica,Faturamento de Vendas,243929.36
DRE,2024-01,3.01.002,Receita de Vendas - Plásticos,Faturamento de Vendas,474697.95
DRE,2024-01,3.01.003,Receita de Vendas - Eletrônicos,Faturamento de Vendas,456968.15
DRE,2024-01,3.01.004,Receita de Vendas - Embalagens,Faturamento de Vendas,380278.56
DRE,2024-01,3.01.005,Receita de Vendas - Químicos,Faturamento de Vendas,479325.41
DRE,2024-01,4.01.001,CMV - Metalmecânica,CMV,-131441.05
DRE,2024-01,4.01.002,CMV - Plásticos,CMV,-252810.56
DRE,2024-01,4.01.003,CMV - Eletrônicos,CMV,-252572.42
DRE,2024-01,4.01.004,CMV - Embalagens,CMV,-208190.91
DRE,2024-01,4.01.005,CMV - Químicos,CMV,-265669.75
DRE,2024-01,5.01.001,Salarios e Ordenados CLT,Folha de Pagamento,-29898.39
DRE,2024-01,5.01.002,Encargos Sociais FGTS/INSS,Folha de Pagamento,-11883.85
DRE,2024-01,5.01.003,Pro-labore Administrativo,Folha de Pagamento,-6746.34
DRE,2024-01,5.02.001,Aluguel e Condominio,Custos Ocupacionais,-5413.95
DRE,2024-01,5.02.002,Energia Eletrica e Utilidades,Custos Ocupacionais,-2814.56
DRE,2024-01,5.03.001,Marketing Digital e Feiras,Marketing e Vendas,-3419.36
DRE,2024-01,5.03.002,Comissoes e Bonificacoes de Vendas,Marketing e Vendas,-2030.95
DRE,2024-01,5.04.001,Software ERP e Ferramentas SaaS,Despesas Administrativas (Software/SaaS),-2444.46
DRE,2024-01,5.04.002,Contabilidade e Assessoria Juridica,Despesas Administrativas (Software/SaaS),-1729.11
DRE,2024-01,5.04.003,Material de Escritorio e Viagens,Despesas Administrativas (Software/SaaS),-984.15
DRE,2024-01,5.05.001,PIS sobre Faturamento,Impostos sobre Vendas,-33580.79
DRE,2024-01,5.05.002,COFINS sobre Faturamento,Impostos sobre Vendas,-154675.16
