id_cliente,razao_social,estado_uf,segmento
C0001,Cliente Piloto 1 S/A,SP,Varejo
C0002,Cliente Piloto 2 S/A,BA,Industria
C0003,Cliente Piloto 3 S/A,PR,Industria
C0004,Cliente Piloto 4 S/A,RJ,Distribuicao
C0005,Cliente Piloto 5 S/A,SP,Varejo
C0006,Cliente Piloto 6 S/A,SP,Industria
C0007,Cliente Piloto 7 S/A,SP,Distribuicao
C0008,Cliente Piloto 8 S/A,SC,Varejo
C0009,Cliente Piloto 9 S/A,RJ,Distribuicao
C0010,Cliente Piloto 10 S/A,PR,Comercio Atacadista
C0011,Cliente Piloto 11 S/A,SP,Industria
C0012,Cliente Piloto 12 S/A,BA,Comercio Atacadista
C0013,Cliente Piloto 13 S/A,SC,Varejo
C0014,Cliente Piloto 14 S/A,SP,Comercio Atacadista
C0015,Cliente Piloto 15 S/A,SP,Comercio Atacadista
C0016,Cliente Piloto 16 S/A,SP,Varejo
C0017,Cliente Piloto 17 S/A,SP,Distribuicao
C0018,Cliente Piloto 18 S/A,MG,Comercio Atacadista
C0019,Cliente Piloto 19 S/A,MG,Distribuicao
C0020,Cliente Piloto 20 S/A,SP,Comercio Atacadista
C0021,Cliente Piloto 21 S/A,RJ,Distribuicao
C0022,Cliente Piloto 22 S/A,SP,Varejo
C0023,Cliente Piloto 23 S/A,SP,Comercio Atacadista
C0024,Cliente Piloto 24 S/A,SP,Varejo
C0025,Cliente Piloto 25 S/A,MG,Comercio Atacadista
C0026,Cliente Piloto 26 S/A,PR,Varejo
C0027,Cliente Piloto 27 S/A,SP,Varejo
C0028,Cliente Piloto 28 S/A,MG,Comercio Atacadista
C0029,Cliente Piloto 29 S/A,RJ,Comercio Atacadista
C0030,Cliente Piloto 30 S/A,SP,Comercio Atacadista
C0031,Cliente Piloto 31 S/A,RJ,Industria
C0032,Cliente Piloto 32 S/A,SP,Distribuicao
C0033,Cliente Piloto 33 S/A,SP,Industria
C0034,Cliente Piloto 34 S/A,GO,Industria
C0035,Cliente Piloto 35 S/A,BA,Varejo
C0036,Cliente Piloto 36 S/A,SC,Comercio Atacadista
C0037,Cliente Piloto 37 S/A,SP,Distribuicao
C0038,Cliente Piloto 38 S/A,SP,Varejo
