id_lancamento,data_pagamento,codigo_conta,conta,grupo_dre,tipo,categoria_dre,centro_custo,documento_origem,valor
F0000001,2024-01-01,3.01.001,Receita de Vendas - Metalmecânica,Receitas Operacionais,Receita,Faturamento de Vendas,CC-MET,V000001,12001.77
F0000002,2024-01-01,4.01.001,CMV - Metalmecânica,Custos dos Produtos Vendidos,Despesa,CMV,CC-MET,V000001,5499.78
F0000003,2024-01-01,3.01.004,Receita de Vendas - Embalagens,Receitas Operacionais,Receita,Faturamento de Vendas,CC-EMB,V000002,973.8
F0000004,2024-01-01,4.01.004,CMV - Embalagens,Custos dos Produtos Vendidos,Despesa,CMV,CC-EMB,V000002,590.9
F0000005,2024-01-01,3.01.005,Receita de Vendas - Químicos,Receitas Operacionais,Receita,Faturamento de Vendas,CC-QUÍ,V000003,679.2
F0000006,2024-01-01,4.01.005,CMV - Químicos,Custos dos Produtos Vendidos,Despesa,CMV,CC-QUÍ,V000003,365.2
F0000007,2024-01-01,3.01.001,Receita de Vendas - Metalmecânica,Receitas Operacionais,Receita,Faturamento de Vendas,CC-MET,V000004,2165.73
F0000008,2024-01-01,4.01.001,CMV - Metalmecânica,Custos dos Produtos Vendidos,Despesa,CMV,CC-MET,V000004,1330.77
F0000009,2024-01-01,3.01.001,Receita de Vendas - Metalmecânica,Receitas Operacionais,Receita,Faturamento de Vendas,CC-MET,V000005,327.88
F0000010,2024-01-01,4.01.001,CMV - Metalmecânica,Custos dos Produtos Vendidos,Despesa,CMV,CC-MET,V000005,174.72
F0000011,2024-01-01,3.01.001,Receita de Vendas - Metalmecânica,Receitas Operacionais,Receita,Faturamento de Vendas,CC-MET,V000006,491.26
F0000012,2024-01-01,4.01.001,CMV - Metalmecânica,Custos dos Produtos Vendidos,Despesa,CMV,CC-MET,V000006,278.74
F0000013,2024-01-01,3.01.002,Receita de Vendas - Plásticos,Receitas Operacionais,Receita,Faturamento de Vendas,CC-PLÁ,V000007,2005.32
F0000014,2024-01-01,4.01.002,CMV - Plásticos,Custos dos Produtos Vendidos,Despesa,CMV,CC-PLÁ,V000007,1122.34
F0000015,2024-01-01,3.01.005,Receita de Vendas - Químicos,Receitas Operacionais,Receita,Faturamento de Vendas,CC-QUÍ,V000008,623.6
F0000016,2024-01-01,4.01.005,CMV - Químicos,Custos dos Produtos Vendidos,Despesa,CMV,CC-QUÍ,V000008,301.6
F0000017,2024-01-01,3.01.003,Receita de Vendas - Eletrônicos,Receitas Operacionais,Receita,Faturamento de Vendas,CC-ELE,V000009,2339.92
