id_op,id_produto,quantidade_planejada,quantidade_produzida,data_inicio,status
OP000001,P0343,11,11,2025-01-25,Finalizada
OP000002,P0216,26,26,2025-04-23,Finalizada
OP000003,P0029,3,3,2025-03-11,Finalizada
OP000004,P0368,23,23,2025-05-05,Finalizada
OP000005,P0060,8,8,2024-08-21,Finalizada
OP000006,P0398,25,25,2026-01-05,Finalizada
OP000007,P0407,35,35,2024-12-02,Finalizada
OP000008,P0446,49,49,2026-01-11,Finalizada
OP000009,P0090,7,7,2024-05-13,Finalizada
OP000010,P0214,25,25,2026-05-07,Finalizada
OP000011,P0160,13,13,2025-05-19,Finalizada
OP000012,P0330,45,45,2025-06-18,Finalizada
OP000013,P0364,19,19,2025-05-15,Finalizada
OP000014,P0339,52,52,2024-09-09,Finalizada
OP000015,P0470,49,49,2025-06-04,Finalizada
OP000016,P0242,16,16,2024-05-31,Finalizada
OP000017,P0279,49,49,2025-05-27,Finalizada
OP000018,P0420,16,16,2026-05-22,Finalizada
OP000019,P0354,36,36,2025-02-12,Finalizada
OP000020,P0206,51,51,2024-11-13,Finalizada
OP000021,P0352,35,35,2024-11-08,Finalizada
OP000022,P0105,38,38,2025-01-15,Finalizada
OP000023,P0356,47,47,2024-01-08,Finalizada
OP000024,P0022,25,25,2024-02-09,Finalizada
OP000025,P0329,9,9,2025-12-03,Finalizada
OP000026,P0187,14,14,2025-01-24,Finalizada
OP000027,P0416,47,47,2025-11-22,Finalizada
OP000028,P0092,23,23,2025-04-16,Finalizada
OP000029,P0478,31,31,2024-07-26,Finalizada
OP000030,P0464,6,6,2026-05-05,Finalizada
OP000031,P0220,44,44,2024-11-14,Finalizada
OP000032,P0044,38,38,2024-07-22,Finalizada
OP000033,P0191,25,25,2025-08-27,Finalizada
OP000034,P0446,46,46,2024-04-19,Finalizada
OP000035,P0082,46,46,2025-07-11,Finalizada
OP000036,P0370,16,16,2025-03-14,Finalizada
OP000037,P0245,15,15,2025-12-22,Finalizada
OP000038,P0197,51,51,2024-02-26,Finalizada
OP000039,P0186,14,14,2025-10-28,Finalizada
OP000040,P0225,52,52,2025-01-27,Finalizada
OP000041,P0036,2,2,2025-01-08,Finalizada
OP000042,P0234,34,34,2025-03-10,Finalizada
OP000043,P0006,20,20,2024-07-14,Finalizada
OP000044,P0498,31,31,2025-06-16,Finalizada
OP000045,P0476,12,12,2026-03-06,Finalizada
OP000046,P0223,49,49,2024-06-28,Finalizada
