id_pedido,data_emissao,id_cliente,id_produto,quantidade,valor_unitario,total,custo_total_item,status
V000001,2024-01-01,C0042,P0034,33,363.69,12001.77,5499.78,Faturado
V000002,2024-01-01,C0141,P0052,10,97.38,973.8,590.9,Faturado
V000003,2024-01-01,C0113,P0112,40,16.98,679.2,365.2,Faturado
V000004,2024-01-01,C0105,P0252,21,103.13,2165.73,1330.77,Faturado
V000005,2024-01-01,C0192,P0082,28,11.71,327.88,174.72,Faturado
V000006,2024-01-01,C0017,P0232,11,44.66,491.26,278.74,Faturado
V000007,2024-01-01,C0120,P0227,34,58.98,2005.32,1122.34,Faturado
V000008,2024-01-01,C0137,P0233,8,77.95,623.6,301.6,Faturado
V000009,2024-01-01,C0169,P0221,22,106.36,2339.92,1356.74,Faturado
V000010,2024-01-01,C0129,P0436,8,638.38,5107.04,2535.68,Faturado
V000011,2024-01-01,C0130,P0413,49,86.84,4255.16,2095.24,Faturado
V000012,2024-01-01,C0060,P0422,15,413.5,6202.5,3504.6,Faturado
V000013,2024-01-01,C0048,P0042,17,62.05,1054.85,537.71,Faturado
V000014,2024-01-01,C0029,P0021,23,410.52,9441.96,5713.89,Faturado
V000015,2024-01-02,C0232,P0416,8,34.97,279.76,127.2,Faturado
V000016,2024-01-02,C0058,P0428,10,138.81,1388.1,854.9,Faturado
V000017,2024-01-02,C0159,P0449,38,86.17,3274.46,1726.72,Faturado
V000018,2024-01-02,C0110,P0087,47,167.14,7855.58,4328.23,Faturado
V000019,2024-01-02,C0228,P0101,32,753.52,24112.64,13096.96,Faturado
V000020,2024-01-02,C0139,P0008,48,158.71,7618.08,4428.96,Faturado
V000021,2024-01-02,C0180,P0333,28,259.01,7252.28,3752.56,Faturado
V000022,2024-01-02,C0143,P0200,17,307.47,5226.99,2955.45,Faturado
V000023,2024-01-02,C0211,P0087,31,167.14,5181.34,2854.79,Faturado
V000024,2024-01-02,C0135,P0043,8,69.77,558.16,355.6,Faturado
V000025,2024-01-02,C0243,P0385,40,243.1,9724.0,5559.2,Faturado
V000026,2024-01-02,C0028,P0109,25,158.15,3953.75,2184.5,Faturado
V000027,2024-01-02,C0051,P0435,9,28.03,252.27,139.05,Faturado
V000028,2024-01-02,C0235,P0408,2,53.51,107.02,61.6,Faturado
V000029,2024-01-02,C0186,P0483,15,105.82,1587.3,756.75,Faturado
V000030,2024-01-02,C0005,P0152,3,90.38,271.14,128.67,Faturado
V000031,2024-01-02,C0005,P0017,49,89.81,4400.69,1996.26,Faturado
V000032,2024-01-02,C0094,P0133,36,269.35,9696.6,5661.72,Faturado
V000033,2024-01-02,C0246,P0148,4,535.56,2142.24,1203.16,Faturado
V000034,2024-01-02,C0096,P0277,14,125.54,1757.56,1071.98,Faturado
V000035,2024-01-03,C0017,P0266,46,13.04,599.84,381.34,Faturado
V000036,2024-01-03,C0168,P0149,49,286.89,14057.61,7843.92,Faturado
V000037,2024-01-03,C0146,P0164,21,99.82,2096.22,1230.81,Faturado
V000038,2024-01-03,C0183,P0140,35,16.94,592.9,311.85,Faturado
V000039,2024-01-03,C0201,P0347,32,39.99,1279.68,739.84,Faturado
V000040,2024-01-03,C0153,P0488,30,121.47,3644.1,1778.1,Faturado
V000041,2024-01-03,C0232,P0258,39,117.52,4583.28,2410.98,Faturado
V000042,2024-01-03,C0059,P0374,49,365.42,17905.58,8486.8,Faturado
V000043,2024-01-03,C0078,P0269,12,69.51,834.12,390.36,Faturado
V000044,2024-01-03,C0124,P0181,41,87.5,3587.5,1726.51,Faturado
V000045,2024-01-03,C0250,P0160,47,229.79,10800.13,6123.16,Faturado
V000046,2024-01-03,C0217,P0351,18,286.61,5158.98,2559.78,Faturado
V000047,2024-01-03,C0114,P0400,21,249.4,5237.4,2526.3,Faturado
V000048,2024-01-03,C0022,P0288,13,149.62,1945.06,918.97,Faturado
V000049,2024-01-03,C0244,P0288,21,149.62,3142.02,1484.49,Faturado
V000050,2024-01-03,C0158,P0380,8,32.5,260.0,151.92,Faturado
V000051,2024-01-03,C0212,P0226,46,37.76,1736.96,913.56,Faturado
V000052,2024-01-03,C0213,P0011,40,254.05,10162.0,6418.0,Faturado
V000053,2024-01-03,C0172,P0010,46,209.24,9625.04,6164.92,Faturado
V000054,2024-01-03,C0032,P0271,7,341.81,2392.67,1268.05,Faturado
V000055,2024-01-04,C0027,P0256,3,197.42,592.26,379.59,Faturado
V000056,2024-01-04,C0050,P0086,19,28.75,546.25,329.65,Faturado
V000057,2024-01-04,C0095,P0150,23,283.33,6516.59,2977.12,Faturado
V000058,2024-01-04,C0207,P0235,29,185.87,5390.23,3244.23,Faturado
V000059,2024-01-04,C0243,P0345,30,206.88,6206.4,3624.0,Faturado
V000060,2024-01-04,C0151,P0022,39,303.23,11825.97,7548.06,Faturado
V000061,2024-01-04,C0088,P0348,44,20.32,894.08,451.0,Faturado
V000062,2024-01-04,C0044,P0285,47,136.87,6432.89,3944.24,Faturado
V000063,2024-01-04,C0205,P0269,25,69.51,1737.75,813.25,Faturado
V000064,2024-01-04,C0022,P0466,37,11.98,443.26,219.78,Faturado
V000065,2024-01-04,C0171,P0258,47,117.52,5523.44,2905.54,Faturado
V000066,2024-01-04,C0165,P0029,8,272.7,2181.6,1122.24,Faturado
V000067,2024-01-04,C0189,P0213,42,30.7,1289.4,819.0,Faturado
V000068,2024-01-04,C0097,P0463,16,77.51,1240.16,729.6,Faturado
V000069,2024-01-04,C0184,P0436,8,638.38,5107.04,2535.68,Faturado
V000070,2024-01-05,C0155,P0449,14,86.17,1206.38,636.16,Faturado
V000071,2024-01-05,C0066,P0388,34,52.85,1796.9,831.3,Faturado
V000072,2024-01-05,C0169,P0104,20,532.54,10650.8,6445.8,Faturado
V000073,2024-01-05,C0112,P0483,11,105.82,1164.02,554.95,Faturado
V000074,2024-01-05,C0013,P0224,16,42.03,672.48,384.64,Faturado
V000075,2024-01-05,C0137,P0320,31,28.3,877.3,505.61,Faturado
V000076,2024-01-05,C0244,P0362,6,84.75,508.5,326.64,Faturado
V000077,2024-01-05,C0164,P0354,19,43.78,831.82,383.04,Faturado
V000078,2024-01-05,C0086,P0491,37,133.02,4921.74,3035.85,Faturado
V000079,2024-01-05,C0234,P0473,4,875.21,3500.84,2129.96,Faturado
V000080,2024-01-05,C0090,P0010,47,209.24,9834.28,6298.94,Faturado
V000081,2024-01-05,C0058,P0405,4,163.73,654.92,360.36,Faturado
V000082,2024-01-05,C0054,P0384,20,346.5,6930.0,4317.0,Faturado
V000083,2024-01-05,C0012,P0302,10,27.82,278.2,165.9,Faturado
V000084,2024-01-05,C0209,P0231,24,102.64,2463.36,1115.76,Faturado
V000085,2024-01-05,C0206,P0219,35,73.62,2576.7,1353.1,Faturado
V000086,2024-01-06,C0202,P0359,46,121.06,5568.76,2877.3,Faturado
V000087,2024-01-06,C0038,P0405,4,163.73,654.92,360.36,Faturado
V000088,2024-01-07,C0186,P0003,24,13.53,324.72,176.4,Faturado
V000089,2024-01-07,C0055,P0216,34,32.42,1102.28,689.52,Faturado
V000090,2024-01-07,C0244,P0229,30,23.93,717.9,401.4,Faturado
V000091,2024-01-07,C0132,P0336,18,224.21,4035.78,2029.86,Faturado
V000092,2024-01-08,C0183,P0403,27,202.16,5458.32,3074.76,Faturado
V000093,2024-01-08,C0113,P0305,15,310.94,4664.1,2854.05,Faturado
V000094,2024-01-08,C0183,P0319,6,51.64,309.84,155.34,Faturado
V000095,2024-01-08,C0225,P0366,47,103.17,4848.99,2579.36,Faturado
V000096,2024-01-08,C0146,P0211,14,51.19,716.66,415.8,Faturado
V000097,2024-01-08,C0063,P0406,11,187.6,2063.6,1092.52,Faturado
V000098,2024-01-08,C0116,P0152,39,90.38,3524.82,1672.71,Faturado
V000099,2024-01-08,C0113,P0109,9,158.15,1423.35,786.42,Faturado
V000100,2024-01-08,C0220,P0076,26,235.19,6114.94,3021.46,Faturado
V000101,2024-01-08,C0047,P0030,16,67.86,1085.76,700.8,Faturado
V000102,2024-01-08,C0203,P0314,5,230.12,1150.6,558.85,Faturado
V000103,2024-01-08,C0057,P0486,10,234.1,2341.0,1326.0,Faturado
V000104,2024-01-08,C0118,P0117,3,155.19,465.57,271.2,Faturado
V000105,2024-01-08,C0045,P0415,13,451.42,5868.46,3019.38,Faturado
V000106,2024-01-08,C0161,P0356,43,36.92,1587.56,829.47,Faturado
V000107,2024-01-08,C0145,P0192,49,84.7,4150.3,2505.37,Faturado
V000108,2024-01-08,C0198,P0019,30,234.69,7040.7,3464.4,Faturado
V000109,2024-01-08,C0004,P0432,45,418.55,18834.75,10985.4,Faturado
V000110,2024-01-08,C0148,P0173,6,177.02,1062.12,504.66,Faturado
V000111,2024-01-08,C0240,P0228,17,39.22,666.74,379.61,Faturado
V000112,2024-01-08,C0047,P0350,45,138.16,6217.2,3643.65,Faturado
V000113,2024-01-09,C0024,P0035,7,24.36,170.52,99.61,Faturado
V000114,2024-01-09,C0057,P0302,35,27.82,973.7,580.65,Faturado
V000115,2024-01-09,C0100,P0410,28,40.06,1121.68,624.12,Faturado
V000116,2024-01-09,C0070,P0499,14,88.82,1243.48,683.76,Faturado
V000117,2024-01-09,C0041,P0069,10,79.46,794.6,360.9,Faturado
V000118,2024-01-09,C0182,P0349,16,212.71,3403.36,1935.04,Faturado
V000119,2024-01-09,C0174,P0320,16,28.3,452.8,260.96,Faturado
V000120,2024-01-09,C0060,P0421,31,318.5,9873.5,6284.94,Faturado
V000121,2024-01-09,C0108,P0468,42,39.41,1655.22,817.74,Faturado
V000122,2024-01-09,C0188,P0049,25,112.31,2807.75,1634.5,Faturado
V000123,2024-01-09,C0057,P0405,13,163.73,2128.49,1171.17,Faturado
V000124,2024-01-09,C0031,P0074,6,80.8,484.8,226.08,Faturado
V000125,2024-01-09,C0084,P0192,44,84.7,3726.8,2249.72,Faturado
V000126,2024-01-09,C0152,P0261,9,98.97,890.73,435.51,Faturado
V000127,2024-01-09,C0217,P0356,45,36.92,1661.4,868.05,Faturado
V000128,2024-01-09,C0036,P0070,36,261.34,9408.24,5463.0,Faturado
V000129,2024-01-09,C0213,P0090,43,501.21,21552.03,12233.07,Faturado
V000130,2024-01-09,C0158,P0260,20,27.0,540.0,294.8,Faturado
V000131,2024-01-09,C0152,P0126,18,189.68,3414.24,1807.2,Faturado
V000132,2024-01-09,C0108,P0231,43,102.64,4413.52,1999.07,Faturado
V000133,2024-01-09,C0106,P0295,21,60.34,1267.14,614.46,Faturado
V000134,2024-01-09,C0158,P0498,4,164.92,659.68,382.08,Faturado
V000135,2024-01-09,C0086,P0419,33,151.8,5009.4,3213.21,Faturado
V000136,2024-01-09,C0220,P0129,27,262.14,7077.78,4435.83,Faturado
V000137,2024-01-10,C0058,P0466,41,11.98,491.18,243.54,Faturado
V000138,2024-01-10,C0021,P0160,33,229.79,7583.07,4299.24,Faturado
V000139,2024-01-10,C0082,P0248,4,79.42,317.68,177.88,Faturado
V000140,2024-01-10,C0069,P0203,42,401.75,16873.5,9634.8,Faturado
V000141,2024-01-10,C0131,P0148,7,535.56,3748.92,2105.53,Faturado
V000142,2024-01-10,C0087,P0472,22,23.38,514.36,306.02,Faturado
V000143,2024-01-10,C0218,P0143,33,259.55,8565.15,4768.17,Faturado
V000144,2024-01-10,C0165,P0432,17,418.55,7115.35,4150.04,Faturado
V000145,2024-01-10,C0216,P0199,24,155.96,3743.04,2183.76,Faturado
V000146,2024-01-10,C0049,P0405,34,163.73,5566.82,3063.06,Faturado
V000147,2024-01-10,C0147,P0426,28,194.26,5439.28,2599.24,Faturado
V000148,2024-01-10,C0115,P0154,43,18.7,804.1,370.23,Faturado
V000149,2024-01-10,C0089,P0492,41,35.31,1447.71,833.53,Faturado
V000150,2024-01-10,C0085,P0376,39,28.65,1117.35,507.39,Faturado
V000151,2024-01-10,C0128,P0384,22,346.5,7623.0,4748.7,Faturado
V000152,2024-01-10,C0140,P0142,49,80.85,3961.65,2065.35,Faturado
V000153,2024-01-10,C0249,P0313,17,59.27,1007.59,561.34,Faturado
V000154,2024-01-10,C0189,P0165,34,30.74,1045.16,473.96,Faturado
V000155,2024-01-11,C0112,P0065,10,22.73,227.3,141.9,Faturado
V000156,2024-01-11,C0179,P0330,35,19.82,693.7,359.45,Faturado
V000157,2024-01-11,C0125,P0341,49,407.88,19986.12,10366.93,Faturado
V000158,2024-01-11,C0167,P0005,32,59.66,1909.12,1010.24,Faturado
V000159,2024-01-11,C0086,P0002,7,289.53,2026.71,972.65,Faturado
V000160,2024-01-11,C0076,P0022,21,303.23,6367.83,4064.34,Faturado
V000161,2024-01-11,C0088,P0112,20,16.98,339.6,182.6,Faturado
